name	country	gender	birthdate	competition_years	first	last
Yu Hsin LIU	TPE	W	27 Feb 1983	1983	None	None	None
Basma DRIES	ALG	W	17 Nov 1984	1984	None	None	None
Elise NLEND	CMR	W	3 Jun 1986	1986	None	None	None
Alain RISSONG	CMR	M	15 Jan 1978	1978	None	None	None
Peter EGBE	NGR	M	18 Dec 1967	1967	None	None	None
Marco CASTANEDA CID	CHI	M	30 Jun 1980	1980	2006	2006	2006
Joe REBOLEDO PINEYRUA	URU	M	27 Mar 1983	1983	2007,2004,2004	2004	2007
Papa Bilal DIAGNE	SEN	M	22 Jan 1969	1969	None	None	None
Cheihk WADE	SEN	M	1 Jul 1981	1981	None	None	None
Emmanuelle SARDA	FRA	W	21 Jul 1979	1979	2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2002,2001	2001	2005
Patrik ENGLUND	SWE	M	8 Mar 1976	1976	2004,2004	2004	2004
Andrew STUBBS	GBR	M	27 May 1980	1980	None	None	None
Peter  REED	GBR	M	27 Jul 1981	1981	2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004	2004	2016
Christopher LE NEVE FOSTER	GBR	M	16 Jan 1981	1981	None	None	None
Hasu JAAKKO	FIN	M	24 May 1976	1976	None	None	None
Ilya ASHCHIN	RUS	M	3 Jun 1980	1980	2008,2007,2007,2007,2006,2005,2005,2005,2004,2004,2004	2004	2008
Monika BRONIKOWSKA	POL	W	30 Jun 1979	1979	2004	2004	2004
Andrew SHANNON	GBR	M	17 Dec 1979	1979	None	None	None
Steffen BUSCHBACHER	USA	M	26 Dec 1977	1977	None	None	None
KIRK	USA	M	23 Aug 1980	1980	None	None	None
Kenelm RICHARDSON	GBR	M	4 Jun 1984	1984	None	None	None
Alexis PLANQUE	FRA	M	26 Jun 1980	1980	2004	2004	2004
Alena ZAKHARAVA	BLR	W	19 Sep 1987	1987	2008,2008,2007,2007,2007,2007,2006,2006,2006,2005,2004,2004	2004	2008
Tamara SAMAKHVALAVA	BLR	W	8 Jun 1975	1975	2006,2006,2006,2005,2005,2005,2005,2004,2004	2004	2006
Nadzeya BELSKAYA	BLR	W	17 Nov 1987	1987	2010,2009,2009,2009,2009,2007,2007,2006,2005,2004	2004	2010
Heidi VEESER	NOR	W	3 Oct 1973	1973	2006,2006,2006,2006,2005,2005,2005,2005,2004,2004,2004	2004	2006
Guixin FENG	CHN	W	11 Feb 1982	1982	2008,2008,2007,2007,2007,2006,2006,2006,2004,2004,2000	2000	2008
Nicholas CLARK	GBR	M	18 Jul 1985	1985	2007,2007,2006	2006	2007
James DUNLEY	GBR	M	3 Feb 1984	1984	2006,2004	2004	2006
Alex GREGORY	GBR	M	11 Mar 1984	1984	2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2007,2007,2007,2007,2006,2006,2005,2005,2005,2005,2004	2004	2016
R. HAWKINS	GBR	M	13 Oct 1983	1983	None	None	None
Robert HOLLIS	GBR	M	14 Feb 1984	1984	2006,2005,2004	2004	2006
Sam TOWNSEND	GBR	M	26 Nov 1985	1985	2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2006,2005,2004	2004	2016
Anna WATKINS	GBR	W	13 Feb 1983	1983	2012,2012,2012,2012,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004,2004	2004	2012
Annabel VERNON	GBR	W	1 Sep 1982	1982	2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004	2004	2012
Laura WHEELER	GBR	W	16 Feb 1985	1985	None	None	None
Jennifer GOLDSACK	USA	W	12 Jul 1982	1982	2008,2008,2007,2006,2005,2005,2005,2005	2005	2008
Laura RALSTON	GBR	W	23 Sep 1982	1982	2006,2006,2006,2006,2004	2004	2006
Analia MARIN	ARG	W	4 May 1983	1983	2004	2004	2004
Rocio RIVAROLA TRAPPE	PAR	W	2 Jul 1987	1987	2013,2013,2004,2004	2004	2013
Yuleidys CASCARET IZNAGA	CUB	M	21 Nov 1978	1978	2008,2008,2007,2007,2007,2005,2004	2004	2008
Lucia PALERMO	ARG	W	30 Sep 1985	1985	2016,2016,2014,2014,2014,2013,2013,2013,2012,2012,2012,2004	2004	2016
Milka KRALJEV	ARG	W	8 Nov 1982	1982	2015,2015,2012,2012,2012,2010,2005,2005,2004	2004	2015
Ana Carolina CUSTODIO	BRA	W	11 Mar 1984	1984	2004	2004	2004
Marilene BARBOSA	BRA	W	29 Oct 1970	1970	2004	2004	2004
Adrian RUBIA LOPEZ	ARG	M	11 May 1976	1976	None	None	None
Jesus Huerta RAMIREZ	MEX	M	22 Jun 1980	1980	None	None	None
Arturo Bastida JAUATREZ	MEX	M	27 Aug 1981	1981	None	None	None
Ruth Margarita DUARTE	HON	W	16 Nov 1983	1983	None	None	None
Wilmer ALVARES SPENCER	HON	M	28 Aug 1983	1983	None	None	None
Alexander DAVIS AGUILAR	HON	M	19 Nov 1984	1984	None	None	None
Douglas DURANTES LOPEZ	HON	M	12 Oct 1988	1988	None	None	None
Ariel CABRERA	ARG	M	26 Mar 1976	1976	None	None	None
Monica FUCHS BARBOSA	BRA	W	28 Nov 1971	1971	2007	2007	2007
Aloisio SANTOS	BRA	M	15 Jul 1977	1977	2004,2004	2004	2004
Deborah AMORIM	BRA	M	30 Oct 1968	1968	None	None	None
Daniel PARSONS	CAN	M	27 Jun 1977	1977	2008,2008,2007,2007,2007,2006,2006,2005,2005,2004	2004	2008
Maria BALDEON BARRIOS	ECU	W	12 Nov 1981	1981	None	None	None
Brayans CHALAS LARA	DOM	M	18 Jan 1976	1976	None	None	None
Miguel ALVAREZ DEL PEZO	ECU	M	1 Dec 1979	1979	None	None	None
Irene VARAS PALOMEQUE	ECU	W	9 Sep 1985	1985	None	None	None
Heriberto RODRIGUEZ REYES	DOM	M	16 Mar 1982	1982	None	None	None
Rafael ESCARRAMAN REYES	DOM	M	24 Oct 1982	1982	None	None	None
Abraham GOMEZ VILLEGAS	ECU	M	6 Jul 1986	1986	None	None	None
Nuno MENDES	POR	M	10 May 1984	1984	2017,2017,2017,2016,2016,2016,2015,2015,2015,2015,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2005,2004,2004	2004	2017
Mostafa ZEIDAN	EGY	M	5 Mar 1980	1980	2009,2009,2008,2008,2007,2007,2006,2006,2005,2004,2004	2004	2009
Mohamed EL TOHAMI	EGY	M	31 Jan 1983	1983	2005,2005,2005	2005	2005
Fei YU	CHN	W	25 Jan 1984	1984	2009,2007,2007,2007,2006,2006,2006,2005,2004,2004	2004	2009
You WU	CHN	W	27 Mar 1984	1984	2012,2012,2011,2011,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004,2004	2004	2012
Serryth COLBERT	IRL	M	None	None	None	None	None
Kenneth MC DONALD	IRL	M	17 Jan 1973	1973	2005,2005,2004,2004,2004	2004	2005
Niamh NI CHEILLEACHAIR	IRL	W	6 Apr 1981	1981	2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004,2004	2004	2008
Herbert WALLACE	IRL	M	14 Jun 1979	1979	2004	2004	2004
Martin FAUCK	GER	M	10 Jan 1975	1975	2004,2004,2004,2002,2002,2000,2000	2000	2004
Jebur AL-HILFI	IRQ	M	1 Mar 1976	1976	2011,2010,2009,2008,2007,2006,2006	2006	2011
Muayied ALI	IRQ	M	12 Jun 1973	1973	2006	2006	2006
Haeidr HAMARASHEID	IRQ	M	2 Apr 1983	1983	2013,2011,2011,2010,2009,2008,2007,2006	2006	2013
Christian WIRZ	SUI	M	30 Jun 1979	1979	None	None	None
Sean CASEY	IRL	M	5 Feb 1978	1978	2009,2009,2009,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004	2004	2009
Diarmaid MAC COLGAIN	IRL	M	18 Apr 1980	1980	2006,2005,2005,2004,2004,2004	2004	2006
Olaf PENKNER	GER	M	None	None	2004	2004	2004
Vuokko VAINONIEMI	FIN	M	None	None	2004	2004	2004
Bessem BRAHIM	TUN	M	None	None	2004,2004	2004	2004
Brian JOUNG	IRL	M	3 Oct 1973	1973	2004	2004	2004
Danielle JOLLY	AUS	W	13 Jun 1976	1976	2004	2004	2004
Jose RANGEL	BRA	M	19 Mar 1986	1986	2004	2004	2004
Armando RIBEIRO	BRA	M	21 Oct 1983	1983	None	None	None
Xiaofeng ZHANG	CHN	M	1 Mar 1981	1981	None	None	None
Ala PIOTROWSKI	USA	W	8 Nov 1975	1975	2007,2007,2007,2006,2006,2005,2004	2004	2007
Miha JANSA	SLO	M	23 Sep 1976	1976	2004	2004	2004
Shumin GUO	CHN	M	9 Jun 1985	1985	2004	2004	2004
Zhongwei HOU	CHN	M	8 Jan 1982	1982	2004	2004	2004
Chunjie LIU	CHN	W	7 Aug 1983	1983	2004	2004	2004
Shasha YU	CHN	W	25 Feb 1985	1985	2004	2004	2004
Mingyu LI	CHN	M	30 Jul 1985	1985	2004	2004	2004
Chenglong BI	CHN	M	13 Jan 1984	1984	2004	2004	2004
Yang ZHANG	CHN	M	11 Feb 1985	1985	2004	2004	2004
Yongqiang ZHANG	CHN	M	19 Mar 1985	1985	2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004	2004	2010
Tianxing QU	CHN	M	1 Nov 1981	1981	2004	2004	2004
Lan HU	CHN	W	6 Oct 1987	1987	2004	2004	2004
Ying XIANG	CHN	W	4 Aug 1985	1985	2004	2004	2004
Kai SONG	CHN	W	16 Dec 1984	1984	2004	2004	2004
Mei HOU	CHN	W	23 Mar 1982	1982	2004	2004	2004
Dening XU	CHN	M	9 Sep 1985	1985	2004	2004	2004
Lin ZHANG	CHN	M	6 Mar 1983	1983	2013,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004	2004	2013
Jinying ZHU	CHN	M	26 Nov 1985	1985	2004	2004	2004
Lijun LI	CHN	M	25 Oct 1983	1983	2004	2004	2004
Zhirong WANG	CHN	W	14 Feb 1985	1985	2004	2004	2004
Jing YU	CHN	W	29 Apr 1982	1982	None	None	None
Liang TIAN	CHN	W	4 Feb 1986	1986	2013,2012,2012,2012,2011,2011,2010,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004	2004	2013
Yulan GAO	CHN	W	3 Oct 1982	1982	2012,2012,2012,2011,2011,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004	2004	2012
Shunyin ZHANG	CHN	M	15 Mar 1984	1984	2011,2011,2011,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004	2004	2011
Dabing HE	CHN	M	10 Feb 1985	1985	2004	2004	2004
Jingang WANG	CHN	M	13 Oct 1980	1980	2004	2004	2004
Qingwei SHI	CHN	W	22 Sep 1985	1985	2004	2004	2004
Karin KJELDAHL	DEN	W	5 Feb 1977	1977	2006,2004,2004	2004	2006
Laila LADEFOGED	DEN	W	17 Oct 1974	1974	2004,2004	2004	2004
Catharina HANSEN	DEN	W	7 Jul 1975	1975	2004,2004	2004	2004
Trine LARSEN	DEN	W	4 Sep 1970	1970	2004,2004	2004	2004
Antonio GUZMAN	ESP	M	30 Jan 1991	1991	2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2009,2008	2008	2016
David WALLACE	IRL	M	9 Feb 1974	1974	2005,2005	2005	2005
Shelley WILKINS	GBR	W	21 May 1974	1974	2004	2004	2004
Robin GRIFFITHS	GBR	M	3 Dec 1978	1978	2004	2004	2004
Tom HANNA	GBR	M	26 Jan 1980	1980	2004	2004	2004
Richard HOSKING	GBR	M	16 Aug 1967	1967	2004	2004	2004
Paul MATTICK	GBR	M	25 Apr 1978	1978	2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004	2004	2012
Daniel SAOUL	GBR	M	11 May 1979	1979	2004	2004	2004
Antonia VAN DEVENTER	ZAM	W	23 Jul 1978	1978	2011,2011,2010,2006,2006,2006,2005,2004,2004	2004	2011
Tanya BRADY	GBR	W	24 Jan 1973	1973	2005,2005,2004,2004	2004	2005
Jordan SAGALOWSKY	USA	M	8 Dec 1980	1980	2004	2004	2004
Jonatan LEHE	USA	M	5 Jan 1982	1982	2004	2004	2004
Aaron HOLZAPFEL	USA	M	7 Dec 1982	1982	2004	2004	2004
Kristopher MACDANIEL	USA	M	27 Jan 1982	1982	2004	2004	2004
Katrien HOUTVAST	NED	W	18 Jan 1980	1980	None	None	None
Jacob HAARTSEN	NED	M	6 Jul 1978	1978	2005,2004,2004	2004	2005
Luigi LONGOBARDI	ITA	M	16 Jun 1990	1990	2004	2004	2004
Francesco MAZZUCCO	ITA	M	1 Nov 1989	1989	2004	2004	2004
Debora PEGOLLO	ITA	W	3 Sep 1977	1977	2005,2004	2004	2005
Thiago ALMEIDA	BRA	M	14 Jan 1980	1980	2014,2013,2013,2013,2012,2012,2012,2008,2008,2008,2007,2004,2004	2004	2014
Richard VANDER WAL	CAN	M	19 May 1971	1971	2004	2004	2004
John MOORCROFT	CAN	M	14 Dec 1960	1960	2006,2004	2004	2006
Virginia WOOD	CAN	W	30 Nov 1987	1987	2004	2004	2004
James MUNFORD	CAN	M	12 May 1953	1953	2004	2004	2004
Erica GNANDT	CAN	W	13 Mar 1989	1989	2004	2004	2004
Chantal WEIBEL	SUI	W	24 Feb 1988	1988	2005,2004	2004	2005
Sarah ZANUCO	SUI	W	9 Feb 1987	1987	2004	2004	2004
Samuel SCHUERMANN	SUI	M	19 Feb 1987	1987	2004	2004	2004
Thomas WEBER	SUI	M	31 Aug 1987	1987	2006,2006,2006,2005	2005	2006
Hansueli PREISIG	SUI	M	10 Apr 1986	1986	2004	2004	2004
Christoph BERCHTOLD	SUI	M	14 Apr 1990	1990	2006	2006	2006
Michael FURIAN	SUI	M	31 Oct 1987	1987	2005,2004	2004	2005
Mic ZEMP	SUI	M	22 Oct 1990	1990	2006	2006	2006
Michael SCHMID	SUI	M	2 Jan 1988	1988	2018,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2007,2007,2007,2006,2005,2004	2004	2018
Karen VAN NEST	CAN	W	29 Sep 1962	1962	2006,2004	2004	2006
Fabiane ALBRECHT	SUI	W	11 Jul 1983	1983	2011,2011,2011,2010,2009,2009,2009,2007,2007,2007,2007,2006,2006,2005,2004	2004	2011
Abraham MEYER	SUI	M	1 Oct 1985	1985	2004	2004	2004
Marco ZAHNER	SUI	M	25 Jun 1985	1985	2004	2004	2004
Sonia MILLS	AUS	W	24 Jan 1980	1980	2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004	2004	2008
Yu XU	CHN	M	2 Dec 1978	1978	None	None	None
Dmitrij CHEBANOV	RUS	M	10 May 1978	1978	None	None	None
Janis ALKSNIS	LAT	M	12 Jul 1987	1987	2005	2005	2005
Ivan MIHAJLOV	SCG	M	1 Apr 1982	1982	None	None	None
Ivan TYMKO	UKR	M	26 Jul 1979	1979	2014,2013,2012,2012,2012,2012,2012,2011,2011,2011,2010,2009,2009,2008,2008,2007,2006,2006	2006	2014
Cindy BISHOP	USA	W	24 Mar 1970	1970	None	None	None
Benjamin BOEHM	USA	M	13 May 1977	1977	None	None	None
Robert BORBERG	USA	M	1 Sep 1968	1968	None	None	None
Anne BROWNING	USA	W	22 Mar 1978	1978	None	None	None
Jonathan BURNS	USA	M	8 May 1978	1978	2007,2007,2005	2005	2007
Claudia WURZEL	ITA	W	1 May 1987	1987	2012,2012,2012,2012,2011,2011,2011,2011,2010,2009,2009,2008,2006,2005,2004	2004	2012
Magnus FLEMING	USA	M	21 Nov 1980	1980	None	None	None
Gavin FRASE	USA	M	24 Dec 1978	1978	2008,2007	2007	2008
Paul GUTHRIE	USA	M	22 Mar 1978	1978	None	None	None
Josh INMAN	USA	M	13 Mar 1980	1980	2011,2011,2010,2010,2008,2007,2006,2005,2004	2004	2011
Evan JACOBS	USA	M	28 Sep 1972	1972	None	None	None
Lisa JOHNSON	USA	W	5 Feb 1974	1974	None	None	None
Jason LAROCHE	USA	M	15 Nov 1975	1975	None	None	None
Mark LAUGHTER	USA	M	12 Mar 1980	1980	None	None	None
Lathryn MADIGAN	USA	W	18 Jun 1975	1975	None	None	None
Richard MONTGOMERY	USA	M	15 Sep 1977	1977	2007,2007,2006,2005,2004	2004	2007
Tyler PETERSON	USA	M	8 Apr 1977	1977	None	None	None
Rodrigo MURILLO	ARG	M	20 May 1986	1986	2018,2018,2018,2017,2017,2017,2016,2016,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2011,2011,2011,2008,2008,2008,2007,2004	2004	2018
Maximiliano MARTINEZ	ARG	M	4 Jun 1986	1986	2008,2008,2007,2006,2005,2004	2004	2008
Nicolas PENA	ARG	M	22 Dec 1986	1986	2004	2004	2004
Diego LOPEZ	ARG	M	26 Jun 1986	1986	2015,2015,2012,2012,2012,2011,2011,2011,2010,2008,2008,2008,2007,2004	2004	2015
Andres FORCHINO	ARG	M	28 Jan 1986	1986	2004	2004	2004
Joaquin IWAN	ARG	M	26 Apr 1986	1986	2017,2017,2015,2015,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2010,2008,2008,2008,2007,2006,2005,2004	2004	2017
Rodrigo RUIZ	ARG	M	6 May 1987	1987	2008,2007,2006,2005,2004	2004	2008
Megan EVERITT	AUS	W	6 Mar 1979	1979	2004	2004	2004
Amy CHARLICK	AUS	W	5 Dec 1980	1980	2004	2004	2004
Robyn SELBY SMITH	AUS	W	26 Nov 1980	1980	2012,2012,2012,2012,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004	2004	2012
Melissa RICE	USA	W	4 Nov 1977	1977	2005	2005	2005
George ROBERTS	AUS	M	28 Aug 1980	1980	2005,2004	2004	2005
David ROBERTS	USA	M	19 Oct 1965	1965	None	None	None
ROME	USA	M	17 Aug 1977	1977	None	None	None
Louise AULD	AUS	W	15 Sep 1981	1981	2004	2004	2004
Kirsty FLEMING	AUS	W	9 Aug 1971	1971	2005,2004	2004	2005
Justin MEDCRAFT	AUS	M	5 Nov 1986	1986	2004	2004	2004
Richard ALLSOP	AUS	M	22 Oct 1987	1987	2009,2008,2007,2004	2004	2009
Rachel ROSE	USA	W	3 Nov 1974	1974	None	None	None
Clayton CURRIE	AUS	M	13 May 1986	1986	2004	2004	2004
Toby DANKBAAR	AUS	M	10 Nov 1986	1986	2004	2004	2004
Tobias LISTER	AUS	M	7 Apr 1987	1987	2013,2012,2012,2012,2011,2011,2010,2010,2009,2008,2007,2004	2004	2013
Elsa O'HANLON	AUS	W	24 Jun 1986	1986	2004	2004	2004
Brynne ALLEN	AUS	W	2 Jul 1987	1987	2004	2004	2004
Renee KIRBY	AUS	W	24 Apr 1987	1987	2008,2007,2006,2004	2004	2008
Shawn SCHOLL	USA	M	13 Jul 1964	1964	None	None	None
Verena STOCKER	AUS	W	15 Dec 1986	1986	2006,2004	2004	2006
Kim BROWN	AUS	W	15 Sep 1986	1986	2008,2005,2005,2004	2004	2008
Jacque BENSON	AUS	W	25 May 1986	1986	2004	2004	2004
Christy SHAVER	USA	W	26 Oct 1976	1976	None	None	None
Jeremy STEVENSON	AUS	M	8 Dec 1986	1986	2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2004	2004	2008
Steve FLETCHER	AUS	M	3 Jul 1986	1986	2007,2005,2005,2004	2004	2007
Rhys GRANT	AUS	M	6 Feb 1987	1987	2016,2016,2014,2014,2014,2009,2008,2004	2004	2016
Jeremy ELLIS	AUS	M	8 Jun 1987	1987	2004	2004	2004
James GATTI	AUS	M	1 Nov 1986	1986	2008,2007,2007,2007,2006,2006,2006,2005,2004	2004	2008
Robert ALDERMAN	AUS	M	10 Sep 1987	1987	2004	2004	2004
John STILLINGS	USA	M	23 Jul 1955	1955	1985,1984,1980	1980	1985
Micah TURMAN	USA	M	29 Dec 1980	1980	None	None	None
David VANCOTT	USA	M	6 Apr 1967	1967	None	None	None
Natallia HAURYLENKA	BLR	W	13 Aug 1986	1986	2011,2010,2010,2009,2009,2009,2008,2008,2007,2007,2007,2007,2007,2006,2006,2005,2005,2004	2004	2011
Dzmitry DUBAVETS	BLR	M	13 Mar 1986	1986	2006,2005,2005,2004	2004	2006
Vadzim RUSETSKI	BLR	M	5 May 1987	1987	2005,2004	2004	2005
Aliaksandr DUDAR	BLR	M	24 Mar 1986	1986	2004	2004	2004
Maksim SHEK	BLR	M	2 Sep 1986	1986	2004	2004	2004
Siarhei RUBANAU	BLR	M	20 Jan 1986	1986	2004	2004	2004
Kiryl LEMIASHKEVICH	BLR	M	12 May 1986	1986	2010,2010,2009,2009,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2006,2006,2004	2004	2010
Dzianis SURAVETS	BLR	M	17 Mar 1986	1986	2018,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2011,2010,2009,2008,2008,2007,2006,2005,2004	2004	2018
Aliaksandra BYLINOVICH	BLR	W	14 Jun 1987	1987	2004	2004	2004
Maryia YAROKHINA	BLR	W	4 Jul 1987	1987	2004	2004	2004
Natallia PRYVALAVA	BLR	W	19 Feb 1987	1987	2010,2009,2009,2009,2009,2008,2008,2007,2007,2007,2006,2006,2005,2004	2004	2010
Volha USTSINENKA	BLR	W	24 Oct 1986	1986	2008,2008,2008,2007,2007,2007,2007,2006,2005,2004	2004	2008
Anastasiya KATSIASHOVA	BLR	W	13 Feb 1987	1987	2008,2008,2008,2007,2007,2007,2006,2006,2004	2004	2008
Rodrigo IDEUS FORERO	COL	M	7 Mar 1987	1987	2011,2010,2008,2008,2007,2007,2006,2006,2005,2004	2004	2011
Ivan MATESKOVICH	CRO	M	8 Jun 1988	1988	2004	2004	2004
Dejan RADMANIC	CRO	M	10 Feb 1986	1986	2005,2004	2004	2005
Dinko RADMANIC	CRO	M	10 Feb 1986	1986	2005,2004	2004	2005
Valent SINKOVIC	CRO	M	2 Aug 1988	1988	2018,2018,2018,2018,2018,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2005,2004	2004	2018
Marjolaine ROSSIT	FRA	W	9 Jan 1980	1980	2006,2005,2004	2004	2006
Florent BOUGRAS	FRA	M	10 May 1983	1983	2004	2004	2004
Adrien BAU	FRA	M	28 Sep 1986	1986	2004	2004	2004
Frederic CHEVALIER	FRA	M	7 Feb 1986	1986	2004	2004	2004
Auguste COLIN	FRA	M	24 Nov 1987	1987	2005,2004	2004	2005
Benjamin LANG	FRA	M	4 Feb 1987	1987	2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2013,2012,2012,2012,2011,2011,2011,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2005,2004	2004	2016
Marc DELBOS	FRA	M	17 Oct 1986	1986	2004	2004	2004
Yannick D'ORIO	FRA	M	7 Aug 1986	1986	2004	2004	2004
Cedric BLEUX	FRA	M	7 Jul 1987	1987	2005,2004	2004	2005
Marion RIALET	FRA	W	13 Mar 1987	1987	2011,2011,2011,2009,2009,2008,2007,2004	2004	2011
Coralie RIBEIL	FRA	W	21 Nov 1986	1986	2010,2009,2009,2007,2007,2006,2006,2006,2006,2005,2005,2005,2004	2004	2010
Charlotte LAURENT	FRA	W	28 Mar 1986	1986	2007,2004	2004	2007
Baptiste DEBLOCK	FRA	M	11 Sep 1986	1986	2004	2004	2004
Michael MOLINA	FRA	M	1 Mar 1986	1986	2012,2012,2012,2011,2011,2011,2009,2009,2008,2007,2007,2006,2005,2004	2004	2012
Gaetan DELHON	MON	M	2 Feb 1986	1986	2009,2008,2008,2007,2007,2006,2004	2004	2009
Clementine JULLIEN-DUBOSQUELLE	FRA	W	4 May 1987	1987	2006,2005,2004	2004	2006
Vanessa GRANDPIERRE	FRA	W	18 May 1987	1987	2010,2010,2010,2009,2009,2008,2006,2004	2004	2010
Genevieve BERNARD	FRA	W	9 May 1987	1987	2005,2004	2004	2005
Charlotte GARCIA	FRA	W	20 Nov 1986	1986	2004	2004	2004
Anne SOMAINI	FRA	W	25 Nov 1986	1986	2004	2004	2004
Jeremy LARONZE	FRA	M	20 Nov 1986	1986	2008,2007,2004	2004	2008
Antoine VATAN	FRA	M	7 Jan 1986	1986	2007,2004	2004	2007
Trevors RENAUD	FRA	M	13 May 1986	1986	2004	2004	2004
Pierrick TAMIC	FRA	M	8 Jun 1986	1986	2004	2004	2004
Lilian DUMAS	FRA	M	17 Mar 1986	1986	2004	2004	2004
Matthieu MILLOT	FRA	M	24 Jan 1986	1986	2008,2005	2005	2008
Jeremy WEISS	FRA	M	23 Aug 1986	1986	2005,2004	2004	2005
Anais BERNARD	FRA	W	27 Oct 1987	1987	None	None	None
Mathieu LE NEPVOU	FRA	M	15 May 1986	1986	None	None	None
Guillaume SARTELET	FRA	M	2 Jan 1986	1986	2008,2007,2006,2005,2004	2004	2008
Romain BOUTRON	FRA	M	5 May 1987	1987	2008,2007,2006,2005,2004	2004	2008
Vladimir POLOMARTCHUK	ISR	M	18 Jan 1988	1988	2009,2009,2007,2007,2006,2006,2005,2004	2004	2009
Yaroslav MIRONENKO	ISR	M	8 Jun 1988	1988	2004	2004	2004
Yoni LINZKI	ISR	M	22 Jun 1986	1986	2004	2004	2004
Janis SKUJENIEKS	LAT	M	12 Dec 1986	1986	2006,2005,2004	2004	2006
Janis TIMOFEJEVS	LAT	M	13 Mar 1987	1987	2012,2012,2011,2010,2009,2008,2007,2007,2006,2005,2004	2004	2012
Fredrik HOLAGER	NOR	M	2 Apr 1986	1986	2004	2004	2004
Knut BJOERDAL	NOR	M	28 Jun 1986	1986	2007,2007,2004	2004	2007
Ben TIPNEY	GBR	M	9 May 1983	1983	2005,2004,2004	2004	2005
Hristina TOMOVA	BUL	W	25 Oct 1987	1987	2004	2004	2004
Ivan LADZHOV	BUL	M	2 Feb 1987	1987	2005,2004	2004	2005
Oleg HRISTOV	BUL	M	23 Dec 1986	1986	2004	2004	2004
Dobromir HRISTOV	BUL	M	18 Apr 1986	1986	2004	2004	2004
Hannah MAHER	NZL	W	26 Jan 1986	1986	2004	2004	2004
Michelle MANAGH	NZL	W	13 Sep 1986	1986	2004	2004	2004
Trudy STUART	NZL	W	30 Aug 1986	1986	2006,2004	2004	2006
Abbey SANDS-MILNER	NZL	W	23 Jun 1986	1986	2004	2004	2004
Carl FINLAY	NZL	M	7 Oct 1987	1987	2007,2007,2007,2006,2005,2004	2004	2007
Reuben TAIT	NZL	M	11 May 1986	1986	2004	2004	2004
