name	country	gender	birthdate	birthyear	competition_years	first	last	results
Cristina ZHUK	UKR	W	None	None	1998	1998	1998	FA Final,4,JW4x
Oleksij ZHUKOV	UKR	M	None	None	1996	1996	1996	FD Final,1,JM4x
Valentina ZULINA	RUS	W	15 Jun 1953	1953	1980	1980	1980	F Final,2,W8+
Aliaksandr ZHURAVSKY	BLR	M	None	None	1992	1992	1992	FA Final,6,JM4+
Mohammad ZIA	PAK	M	None	None	1998	1998	1998	FD Final,5,M2x
Josu ZIARRETA	ESP	M	None	None	None	None	NoneNone
Mohammed ZIAUDDIN	GBR	M	None	None	1995	1995	1995	FC Final,2,JM2x
Edo ZIBRAT	SLO	M	None	None	1997	1997	1997	FC Final,1,JM4-
Egle ZICKUTE	LTU	W	None	None	1996;1995;1994;1993	1993	1996	FB Final,3,BLW1x;FB Final,1,BLW1x;FB Final,4,JW2-;FB Final,2,JW4-
Zaneta ZIDICKYTE	LTU	W	None	None	1995;1994;1994;1993	1993	1995	R Repechage,6,BW2-;FA Final,6,BW4-;FA Final,6,BW4-;FB Final,4,JW2-
Bruno ZIEGLER	SUI	M	3 Jan 1974	1974	None	None	NoneNone
Rudolf ZIEGLER	GER	M	27 Nov 1957	1957	1984;1982;1981;1979;1978;1977;1977	1977	1984	F Final,6,M2+;FA Final,5,M8+;FA Final,5,M8+;FA Final,4,LM8+;FA Final,4,M2+;FB Final,3,M2+;F Final,3,BM2+
Lars ZIEGNER	GER	M	15 Aug 1969	1969	1993	1993	1993	FB Final,3,LM4-
Maciej ZIELINSKI	POL	M	None	None	2004;1999;1999;1997;1995;1994	1994	2004	FA Final,6,BM4+;FA Final,6,BM8+;F Final,5,M8+;FB Final,2,BM8+;FB Final,2,JM4+;FB Final,6,JM4+
Rafel ZIELONKA	POL	M	None	None	1991	1991	1991	FC Final,4,LM4x
Jason ZIELSKI	CAN	M	None	None	1990	1990	1990	FB Final,5,JM4-
Gernot ZIETHEN	GER	M	None	None	1985;1984;1983	1983	1985	FA Final,2,JM8+;FA Final,2,JM8+;FA Final,2,JM4+
Cora ZILLICH	GER	W	15 Jan 1970	1970	1998;1998;1998;1997	1997	1998	F Final,4,LW2-;F Final,4,LW2-;F Final,6,W2-;F Final,5,LW2-
Judith ZILLIKEN	GER	W	None	None	2001	2001	2001	FB Final,3,LW4x
Hans-Ludwig ZIMMER	GER	M	2 Feb 1950	1950	1976	1976	1976	FA Final,1,LM8+
K. ZIMMERMANN	SUI	M	None	None	None	None	NoneNone
Nicole ZIMMERMANN	GER	W	11 May 1980	1980	2008;2008;2008;2007;2007;2007;2007;2006;2006;2006;2006;2005;2005;2005;2004;2004;2004;2004;2003;2003;2003;2002;2002;2002;2002;2001;2001;2000;1999;1998;1997	1997	2008	FB Final,1,W8+;FA Final,4,W8+;FA Final,5,W8+;FA Final,5,W8+;FA Final,2,W8+;FA Final,2,W8+;FA Final,1,W8+;FA Final,2,W8+;FA Final,2,W2-;FA Final,1,W2-;FA Final,1,W8+;FA Final,6,W8+;FA Final,3,W8+;FA Final,5,W8+;FA Final,5,W8+;FA Final,6,W8+;FA Final,3,W8+;FA Final,1,W8+;FA Final,1,W8+;F Final,2,W8+;F Final,2,W8+;F Final,3,W8+;F Final,1,W8+;F Final,1,W8+;F Final,1,W8+;FB Final,2,W4-;FA Final,3,W4-;FA Final,2,BW4-;FA Final,1,BW4-;FA Final,1,JW8+;FA Final,1,JW8+
Rolf ZIMMERMANN	GER	M	None	None	None	None	NoneNone
Volker ZIMMERMANN	GER	M	None	None	1990	1990	1990	FA Final,2,M4+
Volker ZIMNAU	GER	M	13 Jun 1964	1964	1987;1986;1985	1985	1987	FA Final,6,M8+;FB Final,1,M2+;FB Final,1,M2+
Dalibor ZINDOVIC	YUG	M	None	None	1996	1996	1996	FC Final,1,JM4+
Francesca ZINO	GBR	W	11 Feb 1975	1975	2000;2000;2000;1999;1998;1998;1998;1998;1997;1997	1997	2000	R Repechage,5,W8+;F Final,5,W8+;FA Final,4,W8+;FA Final,4,W4-;FB Final,2,W8+;F Final,3,W4-;F Final,1,W4-;F Final,4,W8+;FA Final,3,W8+;FA Final,1,BW2-
Monika ZIPPLIES	GER	W	22 Mar 1956	1956	1977;1976;1975	1975	1977	FB Final,4,W2-;F Final,5,W8+;FA Final,6,W8+
Deanna ZIRALDO	CAN	W	None	None	1992;1991	1991	1992	FA Final,4,JW4-;FB Final,1,JW8+
Z. ZIRKHAM	AUS	M	None	None	1995	1995	1995	FB Final,2,BM8+
Jan ZISKA	SVK	M	29 Jan 1971	1971	2004;2003;2003;2003;2002;2002;2002;2001;2001;2001;2000;2000;2000;2000;1999;1999;1998;1997;1997;1996;1995;1994;1993;1992;1991	1991	2004	FC Final,4,M1x;FC Final,1,M1x;FB Final,5,M1x;R2 Repechage,4,M1x;FB Final,3,M1x;FC Final,4,M1x;R2 Repechage,3,M1x;FB Final,5,M1x;FB Final,1,M1x;FA Final,6,M1x;FB Final,5,M1x;FA Final,6,M4+;SA/B 1 Semifinal,5,M1x;FB Final,1,M1x;FB Final,6,M1x;FB Final,3,M1x;FC Final,4,M1x;FB Final,5,M2x;FB Final,4,M2x;FB Final,5,M2x;FB Final,6,M2x;FB Final,4,M2x;FB Final,4,M2x;FA Final,5,BM1x;FC Final,1,M4x
Vaclav ZITTA	CZE	M	25 May 1981	1981	2003;1998	1998	2003	FB Final,6,BM4x;FB Final,6,JM4+
Alexander ZYUZIN	RUS	M	5 Feb 1976	1976	2008;2007;2007;2007;2006;2006;2006;2005;2005;2005;2004;2004;2004;2003;2003;2002;2002;2000;2000;2000;1999;1999;1999;1998;1998;1998;1998;1997;1997;1997;1996;1995;1994	1994	2008	FA Final,6,LM4-;FA Final,3,LM4-;FC Final,2,LM4-;FC Final,4,LM4-;FC Final,2,LM4-;FC Final,1,LM4-;FB Final,1,LM4-;FB Final,6,LM4-;FA Final,4,LM4-;FB Final,3,LM4-;FB Final,2,LM4-;FB Final,2,LM4-;FA Final,3,LM4-;FB Final,4,LM4-;FB Final,2,LM4-;FB Final,5,LM2-;SA/B 2 Semifinal,4,LM2-;FB Final,4,LM4-;FB Final,5,LM4-;FA Final,4,LM4-;FB Final,2,LM4-;FB Final,3,LM4-;FB Final,2,LM4-;FB Final,6,LM4-;FA Final,4,LM4-;FA Final,6,LM4-;FA Final,2,LM4-;FA Final,6,LM4-;FA Final,4,LM4-;FA Final,6,LM4-;FB Final,3,BLM4-;FB Final,3,BLM4-;FA Final,5,JM8+
Pavlina ZIZKOVA	CZE	W	26 Aug 1980	1980	2011;2009;2009;2006;1998	1998	2011	FD Final,2,W2-;FB Final,4,W2-;FB Final,5,W2-;FB Final,1,W4x;FA Final,6,JW8+
Svetla ZLATOKOVA	BUL	W	None	None	1991;1990;1989	1989	1991	FB Final,4,W8+;FA Final,1,JW2-;F Final,6,JW8+
Katarzyna ZIMUDA	POL	W	17 Aug 1961	1961	1985;1983;1979	1979	1985	FA Final,5,W4+;FB Final,1,W4+;FB Final,2,W4x+
Marina ZNAK	BLR	W	17 May 1961	1961	2000;2000;2000;2000;2000;1999;1999;1999;1999;1998;1998;1998;1998;1997;1997;1997;1997;1996;1995;1994;1993;1992;1991;1988;1986;1985	1985	2000	FA Final,4,W8+;FA Final,1,W4-;F Final,6,W8+;F Final,1,W8+;FA Final,2,W8+;FB Final,1,W8+;FA Final,5,W8+;F Final,2,W8+;F Final,3,W8+;FA Final,5,W8+;FA Final,4,W8+;F Final,5,W4-;F Final,3,W4-;FA Final,4,W8+;FA Final,5,W2-;FA Final,5,W2-;F Final,3,W8+;FA Final,3,W8+;FA Final,5,W8+;FA Final,5,W8+;FA Final,5,W8+;FA Final,4,W8+;FA Final,2,W8+;F Final,4,W8+;F Final,1,W8+;F Final,1,W8+
Karin ZOBELEY	GER	W	None	None	1990;1989	1989	1990	F Final,5,LW4-;FA Final,3,LW4-
Ute ZOBELEY	GER	W	None	None	1990;1989;1987;1986	1986	1990	F Final,5,LW4-;FA Final,3,LW4-;FB Final,1,LW2x;F Final,3,LW4-
Martin ZOBELT	GER	M	27 Jun 1981	1981	2002;2002;2002;2001;2001;2000;1999;1998	1998	2002	F Final,2,M4+;F Final,1,M4+;F Final,1,M4+;FB Final,1,M4+;F Final,2,M4+;FA Final,4,BM4+;FA Final,2,JM4+;FA Final,1,JM4+
Nathalie ZOELLIG	SUI	W	5 Jun 1978	1978	1999;1996;1995	1995	1999	F Final,5,W4-;FA Final,3,JW4x;FB Final,2,JW4x
Dejan ZOLGAR	SLO	M	None	None	1997;1996;1995	1995	1997	FD Final,1,JM2x;FB Final,3,JM4+;FC Final,3,JM2x
Igor ZOLGAR	SLO	M	None	None	2000;1999;1998	1998	2000	FA Final,5,BM4x;FB Final,6,JM2x;F Final,4,JM2+
Heiri ZOLLER	SUI	M	None	None	None	None	NoneNone
Rudolf ZOLLER	SUI	M	28 Mar 1928	1928	None	None	NoneNone
Arthur ZOPE	SUI	M	None	None	None	None	NoneNone
Irini ZORA	GRE	W	1 Jan 1978	1978	1999;1999;1999;1999;1998;1998;1997;1996;1996	1996	1999	FC Final,3,LW2x;FB Final,3,LW2x;FA Final,5,LW2x;FB Final,1,LW2x;FA Final,3,LW4x;SA/B 1 Semifinal,4,BLW1x;FA Final,4,BLW1x;FB Final,3,JW1x;FA Final,9,BW1x
Marko ZOVKO	CRO	M	19 Nov 1975	1975	1994;1994;1993	1993	1994	FA Final,10,BM4x;FB Final,4,BM4x;FB Final,6,JM4x
Ralf ZSCHISCHANG	GER	M	None	None	1981	1981	1981	FA Final,1,JM8+
Zoran ZUBAN	CRO	M	None	None	1998	1998	1998	FB Final,1,JM4+
Ihar ZUBARENKO	BLR	M	20 Feb 1966	1966	1999;1999;1998;1998;1998;1998	1998	1999	SC/D 2 Semifinal,4,M4x;FA Final,5,M4x;FB Final,4,M4x;FA Final,6,M4x;FB Final,1,M4x;FA Final,5,M4x
Elena ZUBATINA	UKR	W	None	None	1995;1993;1990;1986;1985	1985	1995	FB Final,5,W8+;FB Final,1,W8+;FA Final,6,W8+;FA Final,2,JW4x;FA Final,3,JW4x
Xavier ZUBELDIA	ESP	M	None	None	1997	1997	1997	FA Final,5,JM4-
Oleg ZUBENKO	UKR	M	None	None	1996	1996	1996	FB Final,4,JM4-
ZUBER	SUI	M	None	None	None	None	NoneNone
Denis ZUBKOV	RUS	M	None	None	1998	1998	1998	FA Final,1,JM8+
Andrew ZUHBAIA	ISR	M	10 Jul 1980	1980	2008;2007;1998;1997;1996	1996	2008	FB Final,6,LTAMix4+;FB Final,3,LTAMix4+;FD Final,3,JM2x;FD Final,6,JM2x;FE Final,2,JM2x
Ingo ZUCCHET	GER	M	None	None	1991;1994;1994;1993;1990;1989	1989	1994	FA Final,3,BM8+;FA Final,6,BM4+;FA Final,6,BM4+;FA Final,1,BM4+;FA Final,4,JM4+;F Final,2,JM2-
Franco ZUCCHI	ITA	M	16 Dec 1965	1965	1996;1995;1991;1988;1987;1987;1985;1984	1984	1996	FB Final,3,M8+;FB Final,1,M8+;FB Final,3,M8+;FB Final,1,M8+;FA Final,3,M8+;FA Final,3,BM4+;FA Final,3,BM8+;FA Final,5,BM8+
Giovanni ZUCCHI	ITA	M	14 Aug 1931	1931	1964;1960;1956	1956	1964	F Final,5,M4-;F Final,3,M4+;F Final,4,M4-
Franco ZUCCHI	ITA	M	15 Jan 1966	1966	1989;1987;1983	1983	1989	FB Final,2,M8+;FA Final,3,BM4+;FA Final,5,JM8+
Steffen ZUEHLKE	GER	M	28 Apr 1965	1965	1990;1988;1987;1986;1983;1982	1982	1990	FB Final,3,M1x;F Final,3,M4x;FA Final,4,M4x;FB Final,1,M4x;FA Final,2,JM1x;FA Final,1,JM4x
Heinz ZUENKLER	GER	M	28 Sep 1929	1929	1952	1952	1952	F Final,5,M8+
Walter ZUERCHER	SUI	M	28 Nov 1942	1942	None	None	NoneNone
Eva ZUJOVA	CZE	W	None	None	1997;1995;1994	1994	1997	FB Final,3,BW2x;FA Final,4,JW8+;FA Final,3,JW8+
Dimitri ZUKOV	RUS	M	None	None	1993	1993	1993	FA Final,5,BM8+
Franz ZUMBUEHL	SUI	M	None	None	None	None	NoneNone
Guenther ZUMKELLER	GER	M	None	None	None	None	NoneNone
Federico ZUNINO	ITA	M	None	None	1989	1989	1989	FB Final,5,JM8+
Juan ZUNZUNEGUI GUIMERANS	ESP	M	31 Mar 1976	1976	2012;2008;2007;2007;2007;2006;2006;2006;2005;2005;2005;2004;2004;2004;2003;2003;2003;2002;2002;2002;2001;2001;2001;2001;2000;2000;2000;2000;1999;1999;1999;1998;1998;1998;1997;1997;1995;1995;1994	1994	2012	FA Final,5,LM4-;FC Final,5,LM2x;FC Final,5,LM4-;FB Final,6,LM4-;FC Final,4,LM4-;FA Final,2,LM1x;FA Final,3,LM1x;FB Final,5,LM1x;FC Final,3,LM2x;FB Final,4,LM2x;FB Final,3,LM2x;FB Final,2,LM2x;FB Final,2,LM2x;FB Final,3,LM2x;FB Final,1,LM2x;FC Final,4,LM2x;FA Final,6,LM2x;FB Final,1,LM2x;FB Final,1,LM2x;FB Final,5,LM2x;FB Final,3,LM2x;FA Final,5,LM2x;FA Final,5,LM2x;F Final,3,LM2x;FB Final,3,LM2x;FA Final,3,LM4x;FB Final,3,LM2x;FB Final,3,LM2x;FC Final,1,LM4-;FB Final,6,LM4-;FA Final,6,LM4-;FA Final,6,LM4-;FA Final,6,LM4-;FA Final,5,LM4-;FB Final,2,LM4-;FA Final,3,BLM4-;FA Final,5,LM4x;FA Final,2,BLM4x;FA Final,5,JM4x
Andrius ZUOZA	LTU	M	None	None	1998;1997	1997	1998	FD Final,3,JM1x;FE Final,3,JM2x
Karli ZUST	YUG	M	None	None	1989;1987;1985	1985	1989	FA Final,6,M4-;FA Final,5,BM2-;FB Final,4,JM4-
Denis ZVEGELJ	SLO	M	24 Jun 1972	1972	1997;1997;1997;1996;1995;1993;1992;1991;1990;1990;1989	1989	1997	FA Final,4,M4-;FB Final,2,M4-;FA Final,5,M4-;FA Final,4,M4-;FB Final,2,M4-;FA Final,3,M2-;FA Final,3,M2-;FA Final,2,M2-;FB Final,1,M4-;FA Final,1,JM2-;F Final,1,JM2-
Anatolij ZVEREV	UKR	M	None	None	1994;1993	1993	1994	FB Final,1,JM4x;FB Final,4,JM4x
Advinas ZVILIAUSKAS	LTU	M	None	None	1993	1993	1993	FB Final,5,JM4+
Nola ZWARICK	CAN	W	None	None	1998;1995	1995	1998	FA Final,4,BLW2x;FA Final,4,JW4-
Stefanie ZWIEBEL	USA	W	None	None	1995	1995	1995	FB Final,1,JW2-
Werner ZWIMPFER	SUI	M	21 Apr 1944	1944	1968	1968	1968	F Final,5,M2-
Iwona ZYGMUNT	POL	W	12 Aug 1976	1976	2003;2002;2002;2002;2001;2001;2001;2000;2000;1999;1999;1998;1998;1998;1997;1997;1997;1996;1994	1994	2003	FB Final,2,W4x;FC Final,2,W2-;R Repechage,4,W2-;FB Final,1,W2-;FB Final,2,W2-;FB Final,1,W2-;FA Final,6,W2-;FA Final,2,W4-;FB Final,1,W2-;FB Final,6,W4x;FA Final,6,W4x;FA Final,5,W4x;FA Final,5,W4x;FA Final,6,W4x;FB Final,2,W4x;FA Final,2,BW4x;FB Final,1,W4x;FA Final,1,BW4x;FB Final,4,JW4x
Hans APPENZELLER	SUI	M	None	None	1936	1936	1936	F Final,5,M2+
Hilary GEHMAN	USA	W	15 Aug 1971	1971	2004;2004;2004;2003;2003;2003;2002;2002;2001;2000;2000;1999;1999	1999	2004	FA Final,5,W4x;FA Final,3,W4x;FA Final,5,W4x;FA Final,6,W4x;F Final,1,W4x;FA Final,4,W4x;FB Final,1,W4x;FA Final,3,W4x;FA Final,3,W4x;FA Final,5,W4x;FA Final,3,W4x;FA Final,4,W4x;FA Final,3,W4x
David SIMON	USA	M	2 Dec 1979	1979	2001;2000	2000	2001	F Final,3,M8+;FA Final,5,M8+
Mark VERONESE	NZL	M	None	None	2000	2000	2000	FB Final,6,JM8+
Eric MURRAY	NZL	M	6 May 1982	1982	2016;2016;2016;2015;2015;2014;2014;2014;2013;2013;2013;2012;2012;2012;2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2008;2008;2007;2007;2007;2006;2006;2006;2005;2005;2005;2004;2004;2003;2002;2000	2000	2016	FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FA Final,1,M2-;FB Final,1,M4-;FA Final,5,M4-;FA Final,6,M4-;FA Final,1,M4-;FA Final,3,M4-;FA Final,1,M4-;FB Final,3,M4-;FA Final,5,M4-;FA Final,3,M4-;FA Final,6,M4-;FB Final,2,M4-;FB Final,3,M4-;FA Final,5,M4-;FB Final,2,M4-;FA Final,5,M4+;FA Final,4,BM4-;FB Final,6,JM8+
Desmond WATERS	NZL	M	None	None	2000	2000	2000	FB Final,6,JM8+
David FAIRCLOUGH	NZL	M	None	None	2000	2000	2000	FB Final,6,JM8+
Hamish ALLISON	NZL	M	18 Mar 1982	1982	2004;2000	2000	2004	FB Final,2,BM8+;FB Final,6,JM8+
Andrew EARLS	NZL	M	None	None	2000;1999	1999	2000	FB Final,6,JM8+;FA Final,6,JM8+
Jody THOMAS	NZL	W	None	None	2000	2000	2000	FB Final,2,JW8+
Kea WARD	NZL	W	None	None	2000	2000	2000	FB Final,2,JW8+
Jonathan WRIGHT	NZL	M	None	None	2012;2011;2000	2000	2012	FA Final,6,BM4x;FB Final,3,BM4x;FB Final,6,JM8+
Garth TILYARD	NZL	M	None	None	2000	2000	2000	FB Final,6,JM8+
Nick PHIPPS	NZL	M	None	None	None	None	NoneNone
Anthony Robert GEE	GBR	M	17 Feb 1966	1966	None	None	NoneNone
Jan FROMME	NED	M	7 May 1968	1968	1990;1989	1989	1990	FA Final,4,BM4-;FA Final,5,BM8+
Uwe GERDTS	GER	M	1 Jan 1966	1966	None	None	NoneNone
Hendrik Jan HANNING	NED	M	13 Sep 1968	1968	1991;1990;1990;1989;1986	1986	1991	FB Final,5,LM4x;FA Final,4,LM4x;F Final,1,BLM2x;FA Final,5,LM8+;FB Final,5,JM4x
Reinout HOUTTUIN	NED	M	15 May 1967	1967	None	None	NoneNone
Ronald HUFFNAGEL	NED	M	14 Feb 1968	1968	1989	1989	1989	FB Final,2,BM4+
Hugo JANSEN	NED	M	1 Aug 1967	1967	None	None	NoneNone
Liesbeth JORRITSMA	NED	W	9 Apr 1969	1969	1990;1987;1986	1986	1990	FA Final,3,BW2x;FB Final,1,JW4x;FB Final,4,JW4x
Jacques KLOK	NED	M	15 Apr 1968	1968	1990;1989;1986	1986	1990	FA Final,4,BM4-;FB Final,2,BM4+;FB Final,3,JM2+
Robert KOMMERS	NED	M	2 May 1969	1969	1989	1989	1989	FA Final,5,BM8+
Jaap KRIJTENBURG	NED	M	16 May 1969	1969	1995;1994;1993;1992;1991;1990;1989;1987;1987;1986	1986	1995	FA Final,2,M8+;FA Final,2,M8+;FA Final,5,M8+;FA Final,5,M4-;FA Final,5,M4-;FA Final,2,M4-;FA Final,1,BM2x;FB Final,4,JM2x;FA Final,5,BM2x;FB Final,5,JM4x
Dilo KRUYSWIJK	NED	M	18 Mar 1967	1967	1989	1989	1989	FA Final,2,BM4-
Nicholas LEIGH	GBR	M	6 May 1967	1967	None	None	NoneNone
Jelmer LETTERIE	NED	M	19 May 1975	1975	1989	1989	1989	FB Final,2,BM4+
Koos MAASDIJK	NED	M	19 Sep 1968	1968	1996;1992;1991;1990;1989;1989;1988;1987;1986	1986	1996	FA Final,1,M8+;FA Final,5,M4x;FA Final,3,M4x;FA Final,5,M4x;FA Final,1,M4x;FA Final,1,BM1x;FA Final,5,BM2x;FA Final,6,BM2-;FB Final,1,JM2-
Claire MCDOUGALL SMITH	GBR	W	1 Apr 1966	1966	None	None	NoneNone
Volker MELGES	GER	M	1 Jan 1966	1966	None	None	NoneNone
Rogier MINDERHOUT	NED	M	12 Aug 1967	1967	1989	1989	1989	FA Final,5,BM8+
Julian OGGEL	NED	M	9 Sep 1968	1968	1989;1988	1988	1989	FB Final,2,BM4+;FA Final,6,BM4+
Kristel OSBORN	GBR	W	25 Oct 1966	1966	None	None	NoneNone
Menno PALS	NED	M	17 Jun 1968	1968	None	None	NoneNone
Bart RAS	NED	M	30 Mar 1970	1970	1989;1988	1988	1989	FA Final,5,BM4x;FA Final,3,JM2x
Vincent ROPER	GBR	M	19 Sep 1967	1967	None	None	NoneNone
Jeroen ROUPE VAN DER  VOORT	NED	M	22 Aug 1967	1967	1989	1989	1989	FA Final,5,BM8+
Muriel VAN SCHILFGAARDE	NED	W	10 May 1968	1968	1999;1996;1995;1994;1993;1990;1986	1986	1999	F Final,3,W4-;FA Final,6,W8+;FA Final,3,W8+;FA Final,4,W8+;FA Final,6,W2-;FA Final,1,BW4x;FB Final,4,JW4x
Annechien SCHIPPER	NED	W	8 Oct 1967	1967	None	None	NoneNone
Monika SCHMID	GER	W	1 Jan 1968	1968	None	None	NoneNone
Mathias SCHREINER	AUT	M	1 Jan 1966	1966	None	None	NoneNone
Karin SCHUSTEREDER	AUT	W	8 Nov 1970	1970	1988;1987	1987	1988	FB Final,1,JW1x;FA Final,6,JW1x
Jerzey SEYMOUR	GBR	M	12 Aug 1966	1966	None	None	NoneNone
Artur TEN KATEN	NED	M	20 Sep 1968	1968	1990;1989;1987;1986	1986	1990	FA Final,3,BM4x;FA Final,1,BM2-;FA Final,6,BM2-;FB Final,1,JM2-
George VAN IWAARDEN	NED	M	22 Feb 1969	1969	1991;1998;1998;1997;1997;1996;1994;1993;1992;1990;1989;1987;1986	1986	1998	FA Final,1,BM2-;FB Final,3,M8+;FA Final,6,M8+;FB Final,1,M8+;FB Final,2,M8+;FC Final,5,M2-;FA Final,2,M8+;FA Final,5,M8+;FB Final,2,M2-;FA Final,3,BM2x;FA Final,5,BM4x;FB Final,2,JM4x;FB Final,5,JM4x
Niels VAN STEENIS	NED	M	3 Nov 1969	1969	1991;1996;1995;1994;1993;1990;1989;1988;1987	1987	1996	FA Final,2,BM2x;FA Final,1,M8+;FA Final,2,M8+;FA Final,2,M8+;FA Final,5,M8+;FA Final,3,BM4x;FA Final,2,BM4-;FA Final,5,BM4x;FB Final,2,JM4x
Bas VAN VLIET	NED	M	27 Feb 1968	1968	1990;1989;1986;1985	1985	1990	FA Final,5,BM1x;FA Final,5,BM4x;FB Final,3,JM2+;FA Final,5,JM8+
Dolf WOLDRINGH	NED	M	13 May 1969	1969	1993;1990;1989;1988;1987	1987	1993	FA Final,5,M8+;FA Final,3,BM4x;FA Final,2,BM4-;FA Final,5,BM4x;FB Final,2,JM4x
Johannes WOLVIUS	NED	M	9 Dec 1967	1967	1989	1989	1989	FA Final,5,BM8+
Finn ZWAGER	NED	M	20 Apr 1967	1967	1989	1989	1989	FB Final,2,BM4+
Adrien HARDY	FRA	M	30 Jul 1978	1978	2012;2012;2012;2012;2012;2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2009;2008;2008;2008;2008;2008;2007;2007;2007;2007;2006;2006;2006;2006;2005;2005;2005;2004;2004;2004;2004;2003;2003;2003;2002;2002;2002;2002;2001;2001;2001;2000;2000;2000;1999;1999;1999;1998	1998	2012	FA Final,6,M4-;FB Final,4,M4x;FB Final,5,M4x;FA Final,2,M4x;FA Final,4,M4x;FB Final,6,M8+;FB Final,3,M8+;FA Final,5,M8+;FA Final,6,M2-;FA Final,4,M2-;FD Final,1,M2-;FC Final,1,M2-;FA Final,3,M8+;FA Final,5,M4x;FB Final,1,M4x;FA Final,6,M2x;FA Final,1,M8+;FA Final,5,M2x;FA Final,6,M2x;FA Final,5,M2x;FB Final,1,M2x;FA Final,2,M2x;FA Final,5,M2x;FA Final,6,M2x;FA Final,4,M2x;FA Final,1,M2x;FA Final,3,M2x;FA Final,1,M2x;FA Final,3,M2x;FA Final,5,M4x;FB Final,2,M4x;FB Final,5,M4x;FA Final,1,M2x;FA Final,4,M2x;FA Final,3,M2x;FB Final,4,M1x;FA Final,1,M2x;FA Final,3,M2x;FA Final,1,M2x;FB Final,1,M2x;FA Final,4,M2x;FB Final,1,M2x;SA/B 1 Semifinal,4,M1x;FA Final,2,M2x;FA Final,2,M2x;FB Final,2,M1x;FB Final,1,M2x;FA Final,4,M2x;FA Final,5,M2x;FD Final,3,M1x;FA Final,1,BM2x;FB Final,3,M4x;FB Final,3,M4x
Gabriella BASCELLI	ITA	W	19 Aug 1982	1982	2012;2012;2009;2009;2008;2008;2008;2007;2007;2006;2006;2006;2005;2005;2005;2004;2004;2004;2003;2003;2003;2002;2002;2002;2002;2000;2000;1999;1999	1999	2012	FA Final,2,W8+;F Final,4,W4x;F Final,2,W4x;FA Final,4,W4x;FA Final,3,W2x;FB Final,2,W1x;FA Final,4,W1x;FB Final,1,W1x;FB Final,5,W1x;FB Final,2,W1x;FA Final,6,W1x;FC Final,4,W1x;FB Final,2,W4x;FB Final,2,W4x;FB Final,4,W2x;FB Final,2,W2x;FA Final,5,W2x;FB Final,1,W2x;FA Final,5,W2x;FA Final,4,W2x;FB Final,5,W2x;FA Final,3,W2x;FA Final,1,BW2x;FB Final,1,W2x;F Final,5,W2x;FA Final,2,JW1x;FB Final,4,W2x;FC Final,6,W1x;FA Final,2,JW1x
Gino CIABATTI	ITA	M	None	None	None	None	NoneNone
Gaetano CACCAVALLO	ITA	M	None	None	None	None	NoneNone
Giuseppe NACCO	ITA	M	None	None	None	None	NoneNone
Nino CASTELLI	ITA	M	None	None	None	None	NoneNone
Marcel VAN CROMBRUGGHE	BEL	M	None	None	1900	1900	1900	F Final,2,M8+
Charles DE SOMVILLE	BEL	M	None	None	1908;1900	1900	1908	F Final,2,M8+;F Final,2,M8+
Maurice HEMELSOET	BEL	M	None	None	1900	1900	1900	F Final,2,M8+
Oscar DE COCK	BEL	M	None	None	1900	1900	1900	F Final,2,M8+
Maurice VERDONCK	BEL	M	None	None	1900	1900	1900	F Final,2,M8+
BRUGGEMAN	BAR	M	None	None	None	None	NoneNone
Teodoro MARIANI	ITA	M	None	None	None	None	NoneNone
Riccardo STEINLEITNER	ITA	M	10 Jan 1915	1915	None	None	NoneNone
Orfeo PAROLI	ITA	M	None	None	1932	1932	1932	F Final,4,M2x
Mario MINORETTI	ITA	M	None	None	None	None	NoneNone
Francesco COSSO	ITA	M	11 Jan 1907	1907	1932	1932	1932	F Final,3,M4-
Riccardo DIVORA	ITA	M	22 Dec 1908	1908	1932	1932	1932	F Final,2,M4+
Bruno PAROVEL	ITA	M	6 Oct 1913	1913	1932	1932	1932	F Final,2,M4+
Giovanni PLAZZER	ITA	M	30 Sep 1909	1909	1932	1932	1932	F Final,2,M4+
Bruno VATTOVAZ	ITA	M	20 Feb 1912	1912	1932	1932	1932	F Final,2,M4+
Giovanni SCHERL	ITA	M	None	None	1932	1932	1932	F Final,2,M4+
Luigi LUSCARDO	ITA	M	27 Apr 1914	1914	1936	1936	1936	F Final,4,M4-
Aldo PELLIZZONI	ITA	M	9 May 1914	1914	1936	1936	1936	F Final,4,M4-
Francesco PITTALUGA	ITA	M	11 Oct 1911	1911	1936	1936	1936	F Final,4,M4-
Ottorino QUAGLIERINI	ITA	M	18 May 1915	1915	1936	1936	1936	F Final,2,M8+
Mario USTOLIN	ITA	M	14 Apr 1924	1924	None	None	NoneNone
